GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Allow decomposition of cultural landscape features,Allow accelerated decomposition of tribal cultural landscape features per tribal direction,ABANDON (leave),"Biological community changes, Increased average temperature",,,SE - Coastal,"Surface, Subsurface","built features, land use",,,HIGH,,,,Consult with SHPO/THPO and tribal representatives to determine acceptable time frame for abandonment of tribal cultural resources.,,"Sami parliament values cultural history as a part of a holistic system. They believe that it is a part of the natural cycle that tipis and the herding landscapes return to nature over time. , Sami parliament values cultural history as a part of a holistic system. They believe that it is a part of the natural cycle that tipis and the herding landscapes return to nature over time. ",Bartjan- Sami Summer Herding Site,,,"2020_Adaptation Stories: Examples of risk assessment, adaptation planning and conservation management of northern historic places",,22-25
Reduce water damage to collections,"Place collections on upper floors of buildings, but not in attics",DISLOCATE (move),"Flooding (precipitation), Inundation, Tidal Flooding",Flash Flooding,"Submersion, Saturation, Deterioration, Dissolution, Destruction","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
prevent water damage to collections,install leak detection sensors tied into security monitoring station to provide notification of water entry to collections areas,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Inundation",Flash Flooding,"Submersion, Inundation, Saturation, Deterioration, Dissolution","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
Anticipate climate events that require collections relocations,Negotiate and maintain Blanket Agreements with providers of acceptable pre-screened temporary collections storage space,TEND / TELL (aphysical),"Flooding (precipitation), Tidal Flooding, Inundation, Coastal erosion, Increased Wildfire","Landslides, Flash Flooding, Increased Wildfire","Deterioration, Destruction","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,HIGH,,,,,,,,,,2021 Smithsonian Climate Change Action Plan,,21
Mangrove Forests - NNBS,Conserve existing mangroves. Restore existing mangroves and enabling conditions for natural regeneration.,PROTECT (extrinsic),"intensified wind, tidal flooding, increased storm surge frequency & severity, coastal erosion, biological community changes",, ,SE - Coastal,,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,196-209
Raise sea wall elevation,Raise sea wall elevation using compatible materials ,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,"ecological and natural systems, built features",,(immediate) site,MED,,,,Raise wall height to protect sensitive cultural resources from waves overtopping. Determine necessary height based on storm projections,Any addition to a historic wall should be sympathetic in style and form to the original wall. ,"If the resources being protected relate to tribal groups, consult with THPO and tribes regarding best strategies and if maintaining the sea wall is appropriate.",Kilshannig Graveyard (Co. Kerry),,considered but not tested,2023_CLIMATE CHANGE RISK & ADAPTATION ASSESSMENT OF ,,56
Decrease of Load Above the Slope,"Flatten slope, reduce slope height to reduce shear stress",PROTECT (extrinsic),,Landslides,,SW - Mountain,,ecological and natural systems,,"building, (immediate) site",,,,,,"Improving stability by excavation requires that an area at the top of the slope is sacrificed to improve stability, provided the site is accessible to construction equipment and that an area is avalable for disposal of the excavated material",,,,,,,
Reduce water damage to collections,Relocate at-risk collections from flood zone,DISLOCATE (move),"Increased Storm Surge frequency & severity, Tidal Flooding, Flooding (precipitation)",Flash Flooding,"Submersion, Inundation, Saturation, Deterioration, , Submersion, Inundation, Saturation, Deterioration, ","SE - Inland, SE - Coastal, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,LOW to MED,,,,,,,,,,2021 Smithsonian Climate Change Action Plan,,
Improve source moisture control,Increase gutter and downspout capacity; install or expand subsurface drainage capacity and extend leaders away from buildings housing collections,PROTECT (extrinsic),Flooding (precipitation),,"Saturation, Deterioration","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW to MED,,,,,,,,,,,,
improve source moisture control,"inncrease maintenance frequency of gutters, downspouts and drainage systems",TEND / TELL (aphysical),Flooding (precipitation),,"Saturation, Deterioration","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,HIGH,,,,,,,,,,,,
Sandy Shores - NNBS,,PROTECT (extrinsic),"intensified wind, tidal flooding, increased storm surge frequency & severity, coastal erosion, biological community changes",, ,SE - Coastal,,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,224-237
Prevent water accumulation/water disposal,"Provide water outlets (increase gutter size, water channels)",ACCLIMATE (intrinsic),"Higher relative humidity, Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,"Submersion, Inundation, Deterioration",SE - Coastal,,,,"(immediate) site, building",MED,,LONG,,Water removal must be quick and effective. Water must be carried far away from the vicinity of the building (not just the roof) to avoid wetting the subsoil around foundations,Water in all forms is the most harmful agent for hisotic materials and structures. ,,,MAX,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
"Allow for wider range in accepatble ambient RH;  Reduce need for tight environmental controls, protect against power outages; and protect against water intrustion","Place stored collections inside of high-quality, gasketed storage furniture to buffer changes in indoor environments",PROTECT (extrinsic),"Increased Storm Surge frequency & severity, Intensified Wind, Flooding (precipitation)",,"Deterioration, Destruction","SE - Coastal, SE - Inland",,,"Stored, Records",,MED,,,,,,,,,,2021 Smithsonian Climate Change Action Plan,,11
Managed loss, Document and photograph the resource to acknowledge its historical presence,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"(immediate) site, larger site, building, assembly, material",,,,,,,,,,,2021 NPS Planning for Climate Change,,41
Soft shoreline stablilization,"Install living shorelines with cordgrass, oyster reefs, and wetland restoration",PROTECT (extrinsic),"Coastal erosion, Increased Storm Surge frequency & severity, Inundation, Tidal Flooding",,,SE - Coastal,,"vegetation, land use, ecological and natural systems",,"(immediate) site, building",MED,,LONG,,"SCDNR, NOAA Living Shoreline Guidelines",Preserve historic views and natural setting,,"Charleston, SC",MAX,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,
Restore forest ecosystems to reduce risk of catastrophic wildfire,"Utilize prescribed burning, thinning, and selective logging  in high risk areas.",ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, land use",,,MED,"This case study relied heavily on collaboration between multiple entities, including the City of Ashland, The Nature Conservancy, and US Forest Service. This strategy could be less feasible with fewer partners.",MID to LONG,"If successfully implemented, this strategy could significantly reduce the potential for catastrophic wildfire for many years.","Collaborate with entities that can provide expertise in community engagement, public education, alternative management techniques, job training, and ongoing monitoring in addition to forest health.",Confirm cultural resources are identified and protected during restoration work.,"Consult with associated tribes and THPOs, especially if fire management is/has been a part of Indigenous land management regimes in the area.","City of Ashland, Oregon",,Ongoing,2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,doimspp.sharepoint.com/sites/nps-waso-cr-vulnerability-adaptation/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation%2F2024_Conrad_GE_WORKSwithNature_NAP_supplement%2Epdf&parent=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation,30
Salt Marshes - NNBS,,PROTECT (extrinsic),"intensified wind, tidal flooding, flooding (precipitation), increased storm surge frequency & severity, coastal erosion, biological community changes",, ,SE - Coastal,,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,210-223
Terraces and Slopes - NNBS,"Preserve existing terrace systems, restore existing terraces, apply modern landscape technologies, including membranes and geotextiles, design new terraces with built-in long-term sustainability criteria",PROTECT (extrinsic),"Flooding (precipitation), Biologicatl community changes, Tidal flooding",Landslides, ,"SE - Coastal, SW - Mountain",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,58-68
Protect imperiled cultural practices,Manage the impacts of forest pests on culturally important tree species,PROTECT (extrinsic),Biological community changes,Biological community changes,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,ecological and natural systems,,,,,,,"""In the southeastern US, invasive redbay ambrosia beetles (Xyleborus glabratus) are spreading an invasive tree-killing fungal disease, laurel wild (Harringtonia lauricola), to swamp bays, redbays, and sassafrass trees. Redbay and swamp bay trees are culturally important to Indigenous peoples, including roles in traditional Tribal medicine and funeral practices.""",Consider if specimen trees might be replaced with a resistant or climate/pest-adapted species that conveys the historic character.,"Consult with THPO and affiliated tribes regarding cultural uses, significance, and management techniques (if applicable with pests)",Olatinwo et al. 2021,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,,7
Open Green Spaces - NNBS,"Protect existing open green spaces, upgrade or renovate existing green spaces, allow temporal use of undefined areas as green spaces, construct new open green spaces",ACCLIMATE (intrinsic),"Increased average temperature, Biological community changes, tidal flooding, flooding (precipitation)",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,98-110
Increase water conservation yields,"Reduce invastive species with high transpiration rates and rainfall interception, for example, salt cedar (Tamarix spp.)",ACCLIMATE (intrinsic),Biological community changes,Biological community changes,,"SW - Desert, SW - Mountain",,"ecological and natural systems, vegetation",,,,,,,,,,,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,,6
Bioretention Areas - NNBS,"Upgrade of existing roadside drainage, installation of green strips along streets and public spaces, construct new bioretention areas",ACCLIMATE (intrinsic),"Biological community changes, tidal flooding, flooding (precipitation)",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,140-152
Green Corridors - NNBS,"Preserve natural corridors, particularly drainage lines, preserve the existing tree structure, integrate existing elements of green infrastructure into a connected system, upgrade of individual elements, expand the existing tree structure and the connective green structure of the city",PROTECT (extrinsic),"Increased average temperature, Biological community changes, flooding (precipitation), tidal flooding",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience; https://climateparkchange.net/#/strategies/Heat-Wave,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,112-124
Building Solutions - NNBS,Construction of new green roofs and green facades on new buildings or existing buildings (renovation),ACCLIMATE (intrinsic),"Increased average temperature, flooding (precipitation), Biological community changes",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,84-97
Support resilience to flooding,"Control burrowing invasive animals, for example, green iguana (Iguana iguana)",PROTECT (extrinsic),Biological community changes,Biological community changes,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, built features",,,,,,,Animal burrows and soil rooting degrade the strength and stability of earthen dams and levees. Numerous invasive animal species are known to damage flood control infrastructure and many are expected to expand their range and abundance with climate change.,"Consider if infrastructure is historic and if so, develop management strategies that protect historic resources. ","Consult with THPO and affiliated tribes regarding cultural uses, significance, and management techniques (if applicable with pests)",Green iguanas in Florida and Texas,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,,6
Maintain carbon storage and sequestration,Prevent and reduce invasive forest pests,ACCLIMATE (intrinsic),Biological community changes,Biological community changes,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, vegetation",,,,,,,"""Invasive forest pests and pathogens can reduce a tree's ability to capture and store carbon in many ways… and in many cases, the rapid decline and death of the tree (results). Affected forests store less carbon than undisturbed forests.""",Consider if the biological makeup of a forest area relates to cultural interpretation and consider this when generating management plans. ,"Consult with THPO and affiiliated tribes regarding cultural uses, significance, and management techniques. ",,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,doimspp.sharepoint.com/sites/nps-waso-cr-vulnerability-adaptation/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation%2F2023_InvasiveSpeciesThreatentheSuccessofClimateChangeAdaptationEfforts%2Epdf&parent=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation,5
Urban Farming - NNBS,"Protect prevalent urban farming practice and local food supply networks, allow temporal use of unzoned areas for urban farming, create new areas for urban farming",PROTECT (extrinsic),"flooding (precipitation), ",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,126-139
Reduce wildfire risk,Prevent and control invasive grasses,ACCLIMATE (intrinsic),Biological community changes,Biological community changes,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, vegetation",,,,,,,"""Numerous invasive grass species are contributing to increases in wildfire frequency and intensity… Ecosystem resilience in regions affected by fire-associated invasive grass species is improved through traditional invasive species management strategies and resilience-enhancing programs.""",,"Resilience enhancing programs include native plant restoration, Indigenous-led land stewareship.",,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,,5
Maintain and revitalize cultural approaches to harvesting and caretaking,"Promote sustainable harvest techniquest for sensitive beings, such as proper methods of birch bark harvest  or tapping sugar maple trees.",TEND / TELL (aphysical),"Increased average temperature, Biological community changes",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, vegetation, land use",,,MED to HIGH,Requires knowledge holders to share information with site users. ,MID to LONG,Will need to be reinforced over time,Work with local experts and knowledge holders to identify sensitive populations and specimen and determine best practice guidance for harvesting and maintenance.,"Consider overlaps between historic resources, views, and spatial patterns and culturally significant populations and specimen. Establish if cultural management can meet historic resource management goals. ",Work closely with THPO and tribal knowledge holders,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,29
"Design and build creek, river, and coastal infrastructure to adapt to high flows and storms",,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity",Flash Flooding,,"SE - Coastal, SW - Mountain, SW - Desert, SE - Inland",,"Spatial patterns + views, built features",,,,Depends on size and scope of infrastructure.,,"Depends on the infrastructure type, possibly quite long.",Work with multidisciplinary teams to design for potential climate hazards while preserving cultural resources,Utilize materials with the same or compatible characteristics to historic resources (as appropriate). Refer to SOI Guidelines for new features compatibility.,,,,,2023 Climate Positive Design Carbon Drawdown Toolkit,,14
Use low-carbon strategies for vegetation reduction,Utilize goats for controlled vegetation removal at historic sites.,ACCLIMATE (intrinsic),"Increased Wildfire, Biological community changes","Increased Wildfire, Biological community changes",,"SE - Coastal, SW - Desert, SW - Mountain",,land use,,(immediate) site,MED to HIGH,Can be effective for invasives management and reduction of biomass that could feed wildfires. Herds can often be managed by an external operator.,SHORT,This type of controlled grazing will likely need to be repeated annually or biannually.,Contract to responsible grazing operations with adequate oversight.,Ensure grazing activities cannot damage historic resources. Consider if any contributing vegetation might be damaged or culled by grazers.,Consult with THPO or local tribal organizations about any history of grazing as a part of Indigenous land management.,Kerry Graveyards,,considered but not tested,2023_CLIMATE CHANGE RISK & ADAPTATION ASSESSMENT OF ,,27
River and Stream Renaturation - NNBS,"Preserve the tree structure along rivers and streams, Preserve and protect existing watercourses and hydrological systems of rivers, replant riverbanks, daylight streams and tributaries, rehabilitate rivers and stream to restore natural dynamic processes",ACCLIMATE (intrinsic),"Flooding (precipitation), Biological community changes, inundation",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,70-82
Reduce impervious surfaces,Replace concrete/asphalt with pervious pavers or plantable surfaces; aerate/till soil,PROTECT (extrinsic),Flooding (precipitation),,,SE - Coastal,,"built features, ecological and natural systems",,(immediate) site,HIGH,,MID,,"Soil Observation and Testing, Hardscape strategies, particularly useful with new construction and/or renovation of existing properties- concentrate impervious area and reduce.","Use historically compatible pavers (brick, shell, etc.)",,"Charleston, SC",MAX,"Notes from 2024 ASLA- Urban forests perform better than parks at reducing heat island, rivers provide greater cooling than wetlands, number and quality of green spaces are not sufficient for understanding their potential to reduce UHIE.","“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024; 2024 Landscape Architecture Solutions to Extreme Heat",2024_Resilience-Guidance-For-Charleston,R2.4; 18
Capture stormwater on-site,"Install rain gardens, swales, berms, and use permeable surfaces to increase infiltration",PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Inundation",,,SE - Coastal,,ecological and natural systems,,(immediate) site,HIGH,,MID,,"Clemson Guide to Rain Gardens, City of Charleston Rainproof program. Use native/salt-tolerant plants; ",avoid visible modern installations in historic zones,,"Charleston, SC",MAX,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R2.2–R2.6
Temporary deployable flood defense,Use water-filled tubes or structural wall systems during flood events,,"Flooding (precipitation), Tidal Flooding",,,SE - Coastal,,,,(immediate) site,HIGH,,SHORT,,Referenced in FEMA and city protocols; promoted through resilience checklists,"Account for fragile historic materials; use reversible/temporary methods, minimize visibility",,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,"R1.12, R2.11,"
Reduce/disperse force of incoming waves,Relocate a boulder from the same or adjacent location to disperse/reduce force of waves at at a point of sensitivity for erosion,PROTECT (extrinsic),Coastal erosion,,,SE - Coastal,,"Spatial patterns + views, ecological and natural systems, built features",,,HIGH,Considered high feasibility (low risk) and low cost option.,MID to LONG,Depends,Work with experts to identify main areas of impact/erosion. Ensure removal of boulder from previous location won't exacerbate or recreate the issue in another place.,Consider historic views when placing boulder (if visible). ,Consult with THPO or local tribal orgs if coastal area has Indigenous significance or remnants.,Abbey Island Graveyard (Co. Kerry),,considered but not tested,2023_CLIMATE CHANGE RISK & ADAPTATION ASSESSMENT OF ,,37
River Floodplains - NNBS,"Prevent encroachment and incompatible use of floodplains, preserve existing tree structure, reinstate more natural floodplain dynamics, enhance flood attenuation capacity, invest in recreational and other social benefits",PROTECT (extrinsic),"flooding (precipitation), Biological community changes, Increased average temperature",, ,"SE - Coastal, SE - Inland",,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,182-194
Drainage improvements,"Install French drains, site drains, and conveyance piping to redirect stormwater to on-site absorption areas",PROTECT (extrinsic),Flooding (precipitation),,,SE - Coastal,,,,(immediate) site,MED,,LONG,,"LSU Ag Center, City of Charleston Drainage Guidance",Avoid routing drains to impact historic structures; conceal systems where possible,,"Charleston, SC",MAX,,,,R2.8
Maintain and revitalize traditional relationships and uses,"Hold educational sessions and workshops on the use of traditional food, crafts, medicine, and ceremonies.",TEND / TELL (aphysical),"Biological community changes, Coastal erosion, Increased Wildfire, Increased average temperature",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"land use, ecological and natural systems, vegetation",,,MED to HIGH,Depends on tribal connections to landscapes and knowledge holders present. ,LONG,This would be a moment in a much longer tradition ,"""Traditional relationships are a source of strength and are integral to holistic climate adaptation. These relationships may be strained and pressured by climate change, and adaptation may involve strengthening and supporting those relationships."" ",Consider integrating interpretation of historic resources as a part of educational programming. ,Consult with THPO and other tribal representatives and knowledge holders,"Tribal Engagement Nett Lake School Sugar Camp, Bois Forte Reservation",,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,24
